timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773159577.6321769,49.9,0x0,2400.04,8.209,0.0,1.3,0.0
1773159577.7801642,53.2,0x0,2400.04,4.812,96.6,1.3,0.0
1773159577.9330726,55.4,0x0,2400.03,7.935,100.0,1.3,0.0
1773159578.1054134,53.8,0x0,2400.02,4.773,91.4,1.31,0.0
1773159578.2570686,53.2,0x0,2400.02,4.887,95.0,1.31,0.0
1773159578.4062705,53.8,0x0,2400.02,4.891,96.7,1.31,0.0
1773159578.5587833,54.3,0x0,2400.03,4.559,94.9,1.31,0.0
1773159578.713865,55.4,0x0,2400.03,6.345,96.8,1.32,0.0
1773159578.8812726,54.9,0x0,2400.02,6.212,97.0,1.32,0.0
1773159579.0356057,56.0,0x0,2400.04,5.776,95.2,1.32,0.0
1773159579.1921842,56.0,0x0,2400.02,6.433,91.8,1.32,0.0
1773159579.3426158,55.4,0x0,2400.03,6.561,98.3,1.32,0.0
1773159579.5013711,56.0,0x0,2400.04,4.813,95.3,1.32,0.0
1773159579.6694312,57.1,0x0,2400.02,6.259,93.8,1.32,0.0
1773159579.832992,57.1,0x0,2400.02,4.884,95.5,1.33,0.0
1773159579.9897463,56.0,0x0,2400.03,6.326,96.8,1.33,0.0
1773159580.139706,56.5,0x0,2400.03,6.351,96.6,1.33,0.0
1773159580.2979121,56.5,0x0,2400.02,5.977,95.2,1.33,0.0
1773159580.473811,56.5,0x0,2400.04,6.264,97.2,1.33,0.0
1773159580.628063,57.6,0x0,2400.04,6.333,96.7,1.33,0.0
1773159580.7775655,57.1,0x0,2400.03,4.867,96.6,1.33,0.0
1773159580.9429371,58.7,0x0,2400.03,6.726,95.5,1.33,0.0
1773159581.1002274,56.5,0x0,2400.03,6.299,96.8,1.33,0.0
1773159581.2509997,57.1,0x0,2400.03,5.706,93.2,1.33,0.0
1773159581.4138708,57.6,0x0,2400.03,6.32,96.9,1.33,0.0
