timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773018742.1442318,71.4,0x80000,2400.03,6.617,86.4,0.72,739.54
1773018742.3037333,73.0,0x80000,2400.03,8.912,93.7,0.72,739.54
1773018742.4620774,73.6,0x80000,2400.03,9.099,98.4,0.72,739.54
1773018742.6125655,72.5,0x80000,2400.03,8.713,98.4,0.72,739.54
1773018742.7734108,71.9,0x80000,2400.03,5.575,92.4,0.72,739.54
1773018742.9405117,73.6,0x80000,2400.04,7.312,97.0,0.72,739.54
1773018743.0966961,73.6,0x80000,2400.04,5.568,95.2,0.72,739.54
1773018743.2479348,71.9,0x80000,2400.03,5.62,96.7,0.72,739.54
1773018743.404587,71.9,0x80000,2400.03,5.351,93.7,0.72,739.54
1773018743.5628288,71.4,0x80000,2400.03,6.734,96.8,0.72,739.54
1773018743.7280428,70.8,0x80000,2300.03,6.823,95.4,0.72,739.54
1773018743.8835626,73.6,0x80000,2400.02,6.496,96.8,0.72,739.54
1773018744.0421147,72.5,0x80000,2400.02,7.0,93.7,0.72,739.54
1773018744.2058024,73.0,0x80000,2400.02,7.116,93.8,0.72,739.54
1773018744.3679109,73.0,0x80000,2400.03,5.268,96.9,0.72,739.54
1773018744.5353587,73.0,0x80000,2400.03,6.947,98.5,0.72,739.54
1773018744.6954951,73.0,0x80000,2300.02,5.369,96.9,0.72,739.54
1773018744.859819,73.0,0x80000,2400.04,6.776,97.0,0.72,739.54
1773018745.0188718,72.5,0x80000,2300.03,6.791,96.9,0.72,739.54
1773018745.1729302,71.4,0x80000,2400.02,6.743,96.7,0.72,739.54
1773018745.3339903,72.5,0x80000,2400.03,5.367,96.8,0.72,739.54
1773018745.4822001,72.5,0x80000,2400.03,7.123,96.7,0.72,739.54
1773018745.6415598,73.0,0x80000,2400.04,5.287,96.8,0.72,739.54
1773018745.7901855,71.9,0x80000,2400.03,5.743,95.0,0.72,739.54
1773018745.9454458,74.1,0x80000,2400.03,7.116,98.4,0.72,739.54
1773018746.1130183,71.9,0x80000,2400.03,6.69,98.5,0.72,739.54
1773018746.272693,72.5,0x80000,2400.03,6.94,96.8,0.72,739.54
1773018746.4246554,71.4,0x80000,2400.02,7.299,96.7,0.72,739.54
1773018746.5801518,71.9,0x80000,2400.02,7.57,96.8,0.72,739.54
1773018746.7401614,71.9,0x80000,2400.02,5.274,95.2,0.72,739.54
1773018746.912189,72.5,0x80000,2400.04,5.267,97.1,0.72,739.54
1773018747.076162,72.5,0x80000,2400.02,5.311,97.0,0.72,739.54
1773018747.236123,71.9,0x80000,2400.02,5.253,96.9,0.72,739.54
1773018747.3988924,72.5,0x80000,2400.02,7.289,98.5,0.72,739.54
1773018747.555194,72.5,0x80000,2400.02,5.31,93.4,0.72,739.54
1773018747.7180805,72.5,0x80000,2400.03,5.328,97.0,0.72,739.54
1773018747.8772004,72.5,0x80000,2400.02,7.281,96.8,0.72,739.54
1773018748.0373333,72.5,0x80000,2400.02,7.237,96.9,0.72,739.54
1773018748.1966667,71.9,0x80000,2300.02,5.7,96.9,0.72,739.54
1773018748.3544476,72.5,0x80000,2400.03,5.202,95.1,0.72,739.54
1773018748.5226407,73.6,0x80000,2400.03,5.273,97.0,0.72,739.54
1773018748.6996915,72.5,0x80000,2400.03,7.554,95.8,0.72,739.54
1773018748.8602169,74.1,0x80000,2400.03,6.713,98.4,0.72,739.54
