timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773162344.5852463,77.9,0x80000,2400.02,8.079,96.6,1.06,446.75
1773162344.7364242,79.6,0x80000,2400.02,8.428,100.0,1.06,446.75
1773162344.8904545,77.9,0x80000,2400.02,9.254,100.0,1.06,446.75
1773162345.0414073,79.6,0x80000,2400.03,8.457,100.0,1.06,446.75
1773162345.1989155,79.6,0x80000,2400.03,9.604,98.4,1.06,446.75
1773162345.3536546,79.0,0x80000,2400.02,9.524,100.0,1.06,446.75
1773162345.510365,79.0,0x80000,2400.02,9.518,100.0,1.06,446.75
1773162345.6632895,78.5,0x80000,2400.02,9.073,100.0,1.06,446.75
1773162345.8152325,79.6,0x80000,2400.03,9.33,100.0,1.06,446.75
1773162345.9690511,79.6,0x80000,2400.02,9.216,100.0,1.06,446.75
1773162346.1202116,80.7,0x80000,2400.02,8.895,98.4,1.06,446.75
1773162346.2694762,81.2,0x80000,2400.03,9.323,98.3,1.06,446.75
1773162346.4274538,80.7,0x80000,2400.02,9.244,100.0,1.06,446.75
1773162346.5812075,81.2,0x80000,2400.02,8.397,98.4,1.06,446.75
1773162346.7341852,80.1,0x80000,2400.03,9.316,100.0,1.06,446.75
1773162346.8900893,81.2,0x80000,2400.03,9.219,100.0,1.06,446.75
1773162347.0401928,80.7,0x80000,2400.02,9.248,98.4,1.06,446.75
1773162347.1907003,80.1,0x80000,2400.03,8.865,100.0,1.06,446.75
1773162347.3450763,79.6,0x80000,2400.03,8.393,100.0,1.06,446.75
1773162347.497127,80.1,0x80000,2400.03,6.669,95.1,1.06,446.75
1773162347.6606553,80.1,0x80000,2300.02,7.299,96.9,1.06,446.75
1773162347.827126,78.5,0x80000,2400.03,7.607,98.5,1.06,446.75
1773162348.013139,78.5,0x80000,2400.03,6.95,98.6,1.06,446.75
1773162348.186143,77.9,0x80000,2400.03,5.71,95.7,1.06,446.75
1773162348.3508854,77.4,0x80000,2400.03,6.882,98.5,1.06,446.75
1773162348.516204,77.4,0x80000,2400.04,5.405,93.9,1.06,446.75
1773162348.6832159,78.5,0x80000,2400.03,5.035,98.5,1.06,446.75
1773162348.8631575,76.8,0x80000,2400.03,6.88,95.8,1.06,446.75
1773162349.0330405,79.0,0x80000,2400.02,6.98,97.1,1.06,446.75
1773162349.1910615,79.0,0x80000,2400.03,7.571,98.4,1.06,446.75
1773162349.3601146,77.9,0x80000,2300.03,7.019,98.5,1.06,446.75
1773162349.5118806,76.3,0x80000,2400.03,6.653,98.3,1.06,446.75
1773162349.6740384,76.8,0x80000,2400.02,5.608,95.4,1.06,446.75
1773162349.8331115,76.8,0x80000,2400.02,6.975,98.4,1.06,446.75
1773162349.9992304,78.5,0x80000,2400.02,6.865,98.5,1.06,446.75
1773162350.1796203,76.3,0x80000,2400.03,6.803,98.6,1.06,446.75
1773162350.3445325,76.8,0x80000,2400.04,7.106,100.0,1.06,446.75
1773162350.5092547,76.8,0x80000,2400.03,5.667,97.0,1.06,446.75
1773162350.672974,77.4,0x80000,2400.03,5.076,98.5,1.06,446.75
