timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773019029.0472257,76.3,0x80000,2400.04,9.271,99.0,0.87,575.45
1773019029.2024982,76.8,0x80000,2400.02,9.263,100.0,0.87,575.45
1773019029.3562055,76.3,0x80000,2400.02,9.316,100.0,0.87,575.2
1773019029.5084245,77.9,0x80000,2400.02,8.505,100.0,0.87,575.2
1773019029.661436,77.9,0x80000,2400.03,8.883,100.0,0.87,575.2
1773019029.8172262,76.8,0x80000,2400.03,8.476,98.4,0.87,575.2
1773019029.968502,78.5,0x80000,2400.02,9.442,100.0,0.87,575.2
1773019030.1175268,77.4,0x80000,2400.02,9.202,98.3,0.87,575.2
1773019030.2703454,77.4,0x80000,2400.03,9.692,100.0,0.87,575.2
1773019030.4261334,77.4,0x80000,2400.02,9.247,100.0,0.87,575.2
1773019030.5794394,76.8,0x80000,2400.02,8.776,100.0,0.87,575.2
1773019030.7304254,78.5,0x80000,2400.03,9.24,100.0,0.87,575.2
1773019030.8864167,77.9,0x80000,2400.03,9.224,100.0,0.87,575.2
1773019031.0462532,77.9,0x80000,2400.02,9.285,98.5,0.87,575.2
1773019031.2004542,79.0,0x80000,2400.03,9.276,100.0,0.87,575.2
1773019031.3513517,77.9,0x80000,2400.03,9.912,100.0,0.87,575.2
1773019031.5095725,77.9,0x80000,2400.02,9.275,100.0,0.87,575.2
1773019031.668216,77.9,0x80000,2400.03,7.757,100.0,0.87,575.2
1773019031.822275,77.4,0x80000,2400.03,8.748,100.0,0.87,575.2
1773019031.9722893,77.9,0x80000,2400.04,9.028,100.0,0.87,575.2
1773019032.1272793,77.9,0x80000,2400.03,9.363,98.4,0.87,575.2
1773019032.2831924,77.4,0x80000,2400.03,9.143,100.0,0.87,575.2
1773019032.4434357,78.5,0x80000,2400.02,5.518,96.9,0.87,575.2
1773019032.6016834,77.9,0x80000,2400.03,7.608,98.4,0.87,575.2
1773019032.7601628,76.8,0x80000,2400.02,7.688,98.4,0.87,575.2
1773019032.9213712,76.8,0x80000,2400.03,7.963,93.7,0.87,575.2
1773019033.0831652,76.3,0x80000,2400.02,7.47,98.4,0.87,575.2
1773019033.2452743,76.3,0x80000,2400.02,7.738,96.9,0.87,575.2
1773019033.3940573,76.3,0x80000,2400.02,7.62,98.3,0.87,575.2
1773019033.5503924,75.7,0x80000,2400.03,7.435,96.8,0.87,575.2
1773019033.7079954,76.8,0x80000,2400.02,8.199,96.8,0.87,575.2
1773019033.882139,75.2,0x80000,2400.03,6.889,97.1,0.87,575.2
1773019034.0373552,75.7,0x80000,2400.02,7.613,100.0,0.87,575.2
1773019034.2107139,76.3,0x80000,2400.02,7.441,97.1,0.87,575.2
1773019034.3755894,75.2,0x80000,2400.03,7.588,98.5,0.87,575.2
1773019034.5401115,76.3,0x80000,2400.02,6.386,95.5,0.87,575.2
1773019034.6992912,74.7,0x80000,2400.02,7.566,98.4,0.87,575.2
1773019034.8728755,76.3,0x80000,2400.02,7.85,97.1,0.87,575.2
1773019035.0291257,75.7,0x80000,2400.03,7.417,98.4,0.87,575.2
1773019035.1922688,74.7,0x80000,2400.04,7.744,98.5,0.87,575.2
1773019035.3731947,75.2,0x80000,2400.04,7.846,98.6,0.87,575.2
1773019035.5330446,75.2,0x80000,2400.03,7.571,96.9,0.87,575.2
1773019035.692628,74.7,0x80000,2400.02,5.487,95.2,0.87,575.2
1773019035.855053,75.2,0x80000,2400.03,7.269,96.9,0.87,575.2
1773019036.016251,74.1,0x80000,2400.02,6.316,96.8,0.87,575.2
1773019036.175776,74.1,0x80000,2400.03,7.557,95.3,0.87,575.2
1773019036.3395817,74.1,0x80000,2400.03,5.538,95.2,0.87,575.2
1773019036.509159,73.0,0x80000,2400.02,7.591,97.1,0.87,575.2
1773019036.6606717,75.2,0x80000,2400.03,5.35,95.0,0.87,575.2
1773019036.8271275,73.6,0x80000,2400.03,5.719,97.0,0.87,575.2
1773019036.987799,74.1,0x80000,2400.02,5.014,98.4,0.87,575.2
1773019037.146893,73.0,0x80000,2400.02,8.183,96.9,0.87,575.2
1773019037.309525,73.6,0x80000,2400.02,6.776,93.7,0.87,575.2
1773019037.4720616,74.1,0x80000,2400.02,5.268,95.5,0.87,575.2
1773019037.6366963,75.7,0x80000,2400.03,7.436,98.5,0.87,575.2
1773019037.793233,73.0,0x80000,2400.03,5.366,98.4,0.87,575.2
1773019037.9496446,73.6,0x80000,2400.03,7.578,98.4,0.87,575.2
1773019038.1158023,74.1,0x80000,2400.02,5.595,95.5,0.87,575.2
1773019038.2835808,74.7,0x80000,2400.03,5.241,97.0,0.87,575.2
1773019038.4592137,75.2,0x80000,2400.04,6.466,97.1,0.87,575.2
1773019038.6131232,74.7,0x80000,2400.03,6.547,95.1,0.87,575.2
1773019038.7664914,74.1,0x80000,2400.02,7.732,95.2,0.87,575.2
1773019038.9265656,73.6,0x80000,2400.02,6.12,98.4,0.87,575.2
1773019039.0952141,74.1,0x80000,2400.03,6.36,98.5,0.87,575.2
1773019039.251006,74.1,0x80000,2400.03,4.933,95.2,0.87,575.2
1773019039.4113927,73.6,0x80000,2400.02,5.347,96.9,0.87,575.2
1773019039.5691974,73.6,0x80000,2400.04,7.601,96.8,0.87,575.2
1773019039.7302089,73.6,0x80000,2400.03,7.693,98.5,0.87,575.2
1773019039.8896263,74.7,0x80000,2400.02,6.832,96.9,0.87,575.2
1773019040.0481222,73.6,0x80000,2400.02,7.379,98.4,0.87,575.2
1773019040.2140825,73.0,0x80000,2300.02,5.334,97.0,0.87,575.2
1773019040.3807912,73.6,0x80000,2400.02,7.641,100.0,0.87,575.2
1773019040.548467,75.2,0x80000,2400.02,7.597,97.1,0.87,575.2
1773019040.7019126,75.2,0x80000,2400.04,7.447,98.3,0.87,575.2
1773019040.853708,74.1,0x80000,2300.02,6.075,91.9,0.87,575.2
1773019041.0196013,73.6,0x80000,2400.03,5.634,98.5,0.87,575.2
1773019041.1890519,75.2,0x80000,2400.03,7.361,97.1,0.87,575.2
1773019041.3580894,74.7,0x80000,2400.04,7.656,100.0,0.87,575.2
1773019041.5263195,73.6,0x80000,2400.03,5.561,97.0,0.87,575.2
1773019041.6879263,73.0,0x80000,2400.02,7.216,96.9,0.87,575.2
1773019041.855852,73.0,0x80000,2400.03,7.676,98.5,0.87,575.2
1773019042.0301225,73.6,0x80000,2300.03,7.495,98.6,0.87,575.2
1773019042.193942,74.7,0x80000,2400.02,6.804,98.5,0.87,575.2
1773019042.3533366,74.7,0x80000,2400.03,7.579,96.9,0.87,575.2
1773019042.520802,73.6,0x80000,2400.03,7.334,95.5,0.87,575.2
1773019042.6831317,75.2,0x80000,2400.03,6.018,95.3,0.87,575.2
1773019042.8459504,72.5,0x80000,2400.03,5.31,96.9,0.87,575.2
1773019043.011263,74.1,0x80000,2400.02,7.541,97.0,0.87,575.2
1773019043.1634707,74.7,0x80000,2400.03,7.071,98.4,0.87,575.2
