timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773020435.1752422,65.9,0x80000,1600.02,2.795,57.6,0.69,923.34
1773020435.3227262,65.3,0x80000,1700.02,2.891,25.0,0.69,923.09
1773020435.4699914,65.9,0x80000,1700.02,2.807,13.6,0.69,923.09
1773020435.6164246,65.3,0x80000,1700.02,3.661,17.5,0.69,923.09
1773020435.7618492,65.3,0x80000,1700.02,3.451,26.3,0.69,923.75
1773020435.91036,65.9,0x80000,1900.03,5.693,38.3,0.69,927.13
1773020436.0637512,67.5,0x80000,2400.03,8.048,61.7,0.69,924.38
1773020436.2155533,65.9,0x80000,1800.02,2.896,20.0,0.69,924.13
1773020436.3647249,66.4,0x80000,1700.01,3.179,13.3,0.69,924.13
1773020436.511081,67.5,0x80000,1700.02,2.892,37.9,0.69,923.13
1773020436.6601954,66.4,0x80000,1800.02,4.047,16.7,0.7,923.13
1773020436.8091385,65.3,0x80000,1900.02,3.975,16.7,0.69,923.38
1773020436.9529805,64.2,0x80000,1800.02,2.797,10.5,0.69,923.13
1773020437.1085973,65.9,0x80000,2200.02,3.077,30.2,0.69,920.63
1773020437.25784,67.5,0x80000,2400.03,7.249,74.1,0.69,917.07
1773020437.4018984,67.5,0x80000,2400.02,4.235,28.1,0.7,916.82
1773020437.5485673,65.3,0x80000,1700.02,3.8,10.2,0.7,916.32
1773020437.6947691,66.4,0x80000,2400.02,8.694,80.7,0.7,913.57
1773020437.8466372,67.5,0x80000,2000.02,7.852,52.5,0.7,912.07
1773020437.9954934,68.6,0x80000,2400.02,8.251,89.7,0.71,906.57
1773020438.1433206,68.1,0x80000,2400.03,8.157,85.0,0.71,902.32
1773020438.2960923,69.7,0x80000,2400.04,8.011,91.8,0.71,902.07
1773020438.451451,69.2,0x80000,2400.03,8.761,98.4,0.71,901.57
1773020438.6026182,70.3,0x80000,2400.03,8.644,86.9,0.71,901.07
1773020438.7601686,70.3,0x80000,2400.03,8.701,98.4,0.71,901.07
1773020438.909978,70.3,0x80000,1800.02,3.621,54.1,0.71,901.07
1773020439.0563529,67.5,0x80000,1700.02,2.902,10.5,0.71,901.07
1773020439.205399,67.5,0x80000,1700.02,3.504,16.4,0.71,900.82
1773020439.35203,66.4,0x80000,1700.02,3.731,13.6,0.71,900.82
1773020439.500389,66.4,0x80000,1700.02,2.859,15.5,0.71,900.82
1773020439.6468568,65.3,0x80000,1700.02,2.923,13.6,0.71,900.82
1773020439.7948263,65.9,0x80000,2400.02,4.092,27.6,0.7,903.9
1773020439.9370244,65.9,0x80000,2400.02,5.631,35.1,0.7,921.12
1773020440.141031,65.3,0x80000,1800.02,3.531,19.8,0.69,929.75
1773020440.2894983,64.8,0x80000,1900.03,2.752,8.6,0.7,929.75
1773020440.4330437,64.8,0x80000,1800.02,2.793,11.9,0.69,929.75
1773020440.5796306,64.8,0x80000,2400.03,7.518,36.2,0.7,929.75
1773020440.733602,67.0,0x80000,2400.04,9.482,93.5,0.7,928.75
1773020440.8874745,68.1,0x80000,2400.02,8.485,96.6,0.7,928.0
1773020441.0434995,68.6,0x80000,2400.03,9.241,93.7,0.7,926.75
1773020441.1975741,69.7,0x80000,2400.04,6.492,96.7,0.7,925.75
1773020441.355189,70.8,0x80000,2400.03,9.208,95.3,0.7,924.5
1773020441.5091448,70.8,0x80000,2400.04,5.144,91.9,0.7,923.0
1773020441.6562603,71.4,0x80000,2400.03,8.956,94.9,0.71,921.25
1773020441.812131,69.2,0x80000,2400.02,8.644,95.1,0.71,919.75
1773020441.9706697,71.4,0x80000,2400.03,8.68,93.7,0.71,918.25
1773020442.119894,70.8,0x80000,2400.02,8.656,93.2,0.71,916.25
1773020442.273135,71.4,0x80000,2400.03,7.685,95.0,0.71,915.75
1773020442.4249868,71.4,0x80000,2400.03,8.927,91.8,0.71,914.75
1773020442.5771542,71.4,0x80000,2400.02,8.834,95.1,0.71,914.5
1773020442.7282407,73.0,0x80000,2400.02,8.71,95.0,0.71,914.25
1773020442.8789115,72.5,0x80000,2400.03,8.777,96.7,0.71,913.75
1773020443.0362213,73.6,0x80000,2400.02,8.763,96.8,0.71,913.25
1773020443.1803644,70.8,0x80000,1900.02,6.499,50.0,0.71,913.25
1773020443.333934,70.3,0x80000,1700.02,4.956,47.5,0.71,910.25
1773020443.4795158,70.3,0x80000,2200.03,3.105,63.8,0.72,909.5
1773020443.625124,70.3,0x80000,1800.02,3.249,41.4,0.71,909.5
1773020443.7742102,68.1,0x80000,1800.02,3.226,11.9,0.72,909.5
1773020443.9202173,67.5,0x80000,1800.02,3.732,19.0,0.7,908.75
1773020444.0705643,68.6,0x80000,2400.04,8.411,50.8,0.71,908.75
1773020444.2209034,69.2,0x80000,2400.03,3.502,78.0,0.71,907.5
1773020444.3683338,68.6,0x80000,2200.03,3.929,15.3,0.71,907.5
1773020444.5152113,68.6,0x80000,1900.03,3.642,23.3,0.71,907.5
1773020444.6616905,67.0,0x80000,1800.02,2.932,28.8,0.7,907.5
1773020444.8088982,67.0,0x80000,2400.03,4.307,27.6,0.71,907.5
1773020444.9576578,67.0,0x80000,1900.02,4.612,17.2,0.71,906.5
1773020445.105462,66.4,0x80000,2100.03,5.653,37.3,0.71,906.25
1773020445.253937,68.1,0x80000,2200.02,3.472,61.0,0.71,906.25
1773020445.3998094,66.4,0x80000,2000.02,5.12,31.0,0.71,906.25
1773020445.549892,68.1,0x80000,2400.04,5.26,36.7,0.71,906.25
1773020445.698596,67.5,0x80000,1900.03,3.466,26.7,0.71,906.0
1773020445.8445463,66.4,0x80000,1800.02,3.229,15.5,0.71,906.0
1773020445.990338,65.9,0x80000,2400.03,5.597,32.8,0.71,906.48
1773020446.1381884,65.9,0x80000,2200.02,3.217,33.9,0.71,906.48
1773020446.286745,65.9,0x80000,1700.02,3.481,18.6,0.72,906.48
1773020446.4325655,64.8,0x80000,1800.03,2.929,10.5,0.72,906.48
1773020446.5829322,64.2,0x80000,1800.02,3.789,23.3,0.71,906.48
1773020446.7438061,65.3,0x80000,2400.03,4.092,34.4,0.71,906.48
1773020446.8879328,64.8,0x80000,2400.03,4.139,29.3,0.71,911.4
1773020447.0318627,64.2,0x80000,1800.02,3.086,10.3,0.71,911.4
1773020447.177836,64.2,0x80000,1900.03,2.759,10.3,0.7,911.4
1773020447.327499,64.2,0x80000,1800.01,3.298,13.3,0.7,911.4
1773020447.478083,64.2,0x80000,1700.01,2.919,11.7,0.71,911.4
1773020447.7534118,63.7,0x80000,2400.03,3.4,25.7,0.7,919.41
1773020447.9037569,63.7,0x80000,1800.02,3.14,15.0,0.71,915.66
1773020448.0510147,63.7,0x80000,1700.02,3.274,3.5,0.71,914.91
1773020448.1997347,63.1,0x80000,1700.02,2.769,8.6,0.71,914.91
1773020448.3469884,63.1,0x80000,1600.01,2.821,6.8,0.71,914.91
1773020448.4974103,61.5,0x80000,1700.02,3.398,6.7,0.71,914.91
1773020448.6477637,63.1,0x80000,1600.02,2.71,5.2,0.71,914.91
1773020448.796373,61.5,0x80000,1500.02,2.733,6.9,0.7,914.91
1773020448.9467487,62.0,0x80000,1600.02,2.769,6.7,0.7,914.91
1773020449.093717,62.6,0x80000,1600.02,2.987,5.2,0.7,914.91
1773020449.2435682,62.0,0x80000,1700.02,2.658,8.2,0.7,914.91
1773020449.3933868,63.7,0x80000,1800.03,3.163,12.1,0.7,914.91
1773020449.5426946,62.0,0x80000,1600.02,2.76,9.8,0.7,914.91
1773020449.692128,62.0,0x80000,1700.02,3.187,1.8,0.7,914.91
1773020449.8391414,62.0,0x80000,1600.02,3.032,3.5,0.7,914.91
1773020449.9861631,62.6,0x80000,1700.02,2.756,6.7,0.7,914.91
1773020450.130739,60.9,0x80000,1700.02,3.066,7.3,0.71,914.91
1773020450.2803447,62.0,0x80000,1700.01,2.974,11.7,0.7,914.91
1773020450.427172,60.9,0x80000,1500.02,2.911,6.8,0.7,914.66
1773020450.5744064,60.9,0x80000,1600.02,2.664,6.9,0.71,914.66
1773020450.721625,60.9,0x80000,1600.02,4.455,15.0,0.73,914.66
