timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773023857.4736154,71.4,0x80000,2400.03,7.848,67.3,1.21,696.25
1773023857.629293,71.9,0x80000,2400.03,8.788,93.7,1.22,695.75
1773023857.8862917,73.0,0x80000,2400.02,8.997,96.1,1.22,695.25
1773023858.0413547,71.9,0x80000,2400.02,8.769,96.8,1.22,695.25
1773023858.193256,71.4,0x80000,2400.03,4.685,88.1,1.22,694.75
1773023858.3395786,71.4,0x80000,2400.02,6.045,89.8,1.22,694.75
1773023858.492264,71.4,0x80000,2400.03,5.478,93.4,1.22,694.75
1773023858.6435535,71.9,0x80000,2400.03,8.622,96.6,1.22,694.75
1773023858.79826,73.0,0x80000,2400.03,8.716,98.4,1.22,694.75
1773023858.948271,72.5,0x80000,2400.02,7.03,96.7,1.22,694.75
1773023859.0986648,72.5,0x80000,2400.03,6.999,100.0,1.22,694.75
1773023859.2531781,71.9,0x80000,2400.03,6.407,79.0,1.22,694.75
1773023859.4081047,71.4,0x80000,2400.04,6.642,54.1,1.22,694.75
1773023859.5675986,70.8,0x80000,2400.03,6.529,60.9,1.22,694.75
1773023859.7236223,71.4,0x80000,2400.03,6.622,54.8,1.22,694.75
1773023859.877861,70.8,0x80000,2400.04,6.621,55.7,1.22,694.75
1773023860.0327737,70.3,0x80000,2400.02,6.772,54.8,1.22,694.75
1773023860.186853,72.5,0x80000,2400.04,6.777,54.8,1.22,694.75
1773023860.3414583,71.9,0x80000,2400.02,6.88,55.0,1.22,694.75
1773023860.4976628,69.7,0x80000,2400.02,6.691,54.8,1.22,694.75
1773023860.6542063,71.9,0x80000,2400.03,6.703,57.1,1.22,694.75
1773023860.8109546,70.8,0x80000,2400.03,6.688,54.8,1.22,694.75
1773023860.966489,69.7,0x80000,2400.03,6.797,54.8,1.22,694.75
1773023861.1233597,69.7,0x80000,2400.02,6.668,56.5,1.22,694.75
1773023861.2781732,69.7,0x80000,2400.02,6.752,55.7,1.22,694.75
1773023861.4332647,71.4,0x80000,2400.02,6.624,54.8,1.22,694.75
1773023861.5912707,71.4,0x80000,2400.02,6.631,56.5,1.22,694.75
1773023861.8479102,69.7,0x80000,2400.04,6.424,53.9,1.22,694.75
1773023862.0027537,69.7,0x80000,2400.03,6.478,54.1,1.22,694.75
1773023862.1577055,70.3,0x80000,2400.03,6.498,54.8,1.22,694.75
1773023862.3132427,70.3,0x80000,2400.02,6.823,55.7,1.22,694.75
1773023862.46947,70.8,0x80000,2400.02,6.531,55.6,1.22,694.75
1773023862.6258292,70.3,0x80000,2400.02,6.459,55.7,1.22,694.75
1773023862.780953,70.8,0x80000,2400.03,6.716,55.6,1.22,694.75
1773023862.940127,69.7,0x80000,2400.02,7.031,60.3,1.22,694.75
1773023863.0963054,69.2,0x80000,2400.03,6.395,54.8,1.22,694.75
1773023863.2516608,69.7,0x80000,2400.03,6.622,54.1,1.22,694.75
1773023863.406767,71.4,0x80000,2400.03,6.655,54.8,1.22,694.75
1773023863.5656168,70.3,0x80000,2400.03,6.358,58.7,1.22,694.75
1773023863.7214577,70.8,0x80000,2400.02,6.675,54.8,1.22,694.75
1773023863.8767383,70.3,0x80000,2400.02,6.636,54.8,1.22,694.75
1773023864.0323753,69.7,0x80000,2400.03,6.264,54.8,1.22,694.75
1773023864.1878335,69.2,0x80000,2400.04,6.774,55.7,1.22,694.75
