Model,Quant,Context,Threads,Prompt_ID,TPS,PPL,Total_Time,TTFT,Load_Duration,Prompt_Tokens,Prompt_Eval_Rate
microsoft_Phi-4-mini-instruct,Q8_0,512,2,1,2.91,12.2803,45.08,1.158,47.97,8,6.91,6.52,65.9,57.4,1.02,2397.6,1
microsoft_Phi-4-mini-instruct,Q8_0,512,2,2,2.92,4.9062,45.03,1.261,47.97,15,11.9,6.68,68.6,57.4,1.03,2398.7,1
microsoft_Phi-4-mini-instruct,Q8_0,512,2,3,2.92,4.7586,45.41,1.637,47.97,16,9.77,6.73,70.8,57.6,1.06,2400.0,1
microsoft_Phi-4-mini-instruct,Q8_0,512,2,4,2.88,4.6238,27.32,2.306,47.97,30,13.01,6.82,73.6,59.9,1.07,2400.0,1
microsoft_Phi-4-mini-instruct,Q8_0,512,2,5,2.82,5.8307,47.4,2.081,47.97,23,11.05,6.75,74.1,58.4,1.07,2400.0,1
Llama-3.2-1B,Q4_K_M,512,2,1,12.95,76.6425,10.32,0.354,9.84,9,25.41,6.82,67.5,56.4,0.94,2400.0,1
Llama-3.2-1B,Q4_K_M,512,2,2,12.99,29.2636,10.49,0.557,9.84,16,28.73,6.91,69.7,57.1,0.95,2400.0,1
Llama-3.2-1B,Q4_K_M,512,2,3,12.97,23.3137,10.52,0.578,9.84,17,29.41,6.99,71.4,57.1,0.96,2400.0,1
Llama-3.2-1B,Q4_K_M,512,2,4,12.89,22.6259,9.39,1.084,9.84,31,28.61,7.05,72.5,59.7,0.98,2398.4,1
Llama-3.2-1B,Q4_K_M,512,2,5,12.85,12.3311,10.88,0.848,9.84,24,28.29,6.95,73.0,58.7,0.99,2400.0,1
Mistral-7B-v0.3,Q8_0,512,2,1,1.08,27.7122,170.24,58.675,93.12,9,0.15,4.57,70.3,31.2,0.85,2041.4,1
Mistral-7B-v0.3,Q8_0,512,2,2,1.54,14.3792,88.16,3.77,93.12,18,4.77,6.59,71.9,58.7,0.67,2397.2,1
Mistral-7B-v0.3,Q8_0,512,2,3,1.54,13.6272,88.22,3.583,93.12,20,5.58,6.67,74.1,58.2,0.66,2398.3,1
Mistral-7B-v0.3,Q8_0,512,2,4,1.53,9.1975,81.22,5.358,93.12,33,6.16,6.72,76.3,59.2,0.67,2398.5,1
Mistral-7B-v0.3,Q8_0,512,2,5,1.53,6.6601,89.02,4.113,93.12,28,6.81,6.71,77.4,58.9,0.67,2398.6,1
Llama-3.2-1B,Q8_0,512,2,1,8.8,73.5381,14.98,0.318,17.78,9,28.28,6.62,67.5,56.6,0.69,2392.8,1
Llama-3.2-1B,Q8_0,512,2,2,8.78,30.6344,15.1,0.417,17.78,16,38.39,6.61,69.2,57.7,0.7,2394.9,1
Llama-3.2-1B,Q8_0,512,2,3,8.87,25.0133,15.07,0.537,17.78,17,31.66,6.72,69.7,57.1,0.72,2399.0,1
Llama-3.2-1B,Q8_0,512,2,4,8.59,22.196,15.25,0.93,17.78,31,33.34,6.62,72.5,58.6,0.74,2391.9,1
Llama-3.2-1B,Q8_0,512,2,5,8.58,11.5672,15.73,0.703,17.78,24,34.15,6.59,71.4,57.7,0.75,2400.0,1
Mistral-7B-v0.3,Q4_K_M,512,2,1,2.66,24.9705,50.57,1.657,50.73,9,5.43,7.04,71.4,57.2,0.74,2399.1,1
Mistral-7B-v0.3,Q4_K_M,512,2,2,2.59,14.0832,53.34,3.127,50.73,18,5.76,7.14,75.2,58.4,0.77,2400.0,1
Mistral-7B-v0.3,Q4_K_M,512,2,3,2.56,13.3499,54.18,3.391,50.73,20,5.9,7.18,77.9,58.6,0.78,2400.0,1
Mistral-7B-v0.3,Q4_K_M,512,2,4,2.54,9.6236,51.31,5.617,50.73,33,5.88,7.29,79.6,60.6,0.79,2400.0,1
Mistral-7B-v0.3,Q4_K_M,512,2,5,2.55,6.5488,55.68,4.757,50.73,28,5.89,7.25,80.7,59.5,0.8,2400.0,1
microsoft_Phi-4-mini-instruct,Q4_K_M,512,2,1,4.16,58.4637,21.38,0.968,29.65,8,8.27,6.87,70.8,57.2,0.84,2397.9,1
microsoft_Phi-4-mini-instruct,Q4_K_M,512,2,2,4.1,15.2321,32.9,1.673,29.65,15,8.97,6.97,74.1,57.2,0.87,2400.0,1
