timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1771035594.184361,45.0,0x0,2300.03,3.614,0.0,1.2,0.0
1771035594.3292792,45.5,0x0,2400.03,3.504,31.0,1.21,0.0
1771035594.472273,46.1,0x0,2400.02,3.365,32.1,1.21,0.0
1771035594.6150799,46.1,0x0,2400.02,3.586,29.8,1.24,0.0
1771035594.7583256,45.0,0x0,2400.02,4.092,38.6,1.25,0.0
1771035594.9007764,43.9,0x0,2400.02,3.432,33.9,1.26,0.0
1771035595.0429642,46.1,0x0,2400.03,3.273,28.6,1.28,0.0
1771035595.191753,45.0,0x0,2000.02,3.549,31.0,1.29,0.0
1771035595.3377001,46.1,0x0,2400.02,4.382,44.8,1.31,0.0
1771035595.4810524,45.0,0x0,2400.02,3.454,39.3,1.33,0.0
1771035595.6243615,46.6,0x0,2400.03,3.327,29.8,1.34,0.0
1771035595.7772412,46.6,0x0,2400.03,3.721,44.1,1.44,0.0
1771035595.9284399,46.6,0x0,2400.03,4.029,38.3,1.61,0.0
1771035596.0802708,46.1,0x0,2400.02,3.744,31.1,1.78,0.0
1771035596.2282798,46.6,0x0,2400.03,3.723,29.3,1.96,0.0
1771035596.3747916,46.1,0x0,2400.02,3.743,28.8,2.12,0.0
1771035596.5229018,47.2,0x0,2400.03,3.823,29.3,2.28,0.0
1771035596.6703894,46.6,0x0,2400.02,3.726,28.8,2.44,0.0
1771035596.8172827,47.2,0x0,2400.03,4.133,32.2,2.58,0.0
1771035596.9692674,46.6,0x0,2400.02,7.99,58.3,2.68,0.0
1771035597.1248813,48.8,0x0,2400.03,6.509,100.0,2.68,0.0
1771035597.2754817,52.1,0x0,2400.03,8.109,100.0,2.68,0.0
1771035597.4295502,50.5,0x0,2400.02,5.274,100.0,2.68,0.0
1771035597.5806696,52.1,0x0,2400.02,7.494,100.0,2.68,0.0
1771035597.7341936,52.7,0x0,2400.03,7.534,100.0,2.68,0.0
1771035597.886329,53.2,0x0,2400.03,7.355,98.4,2.68,0.0
1771035598.041213,52.7,0x0,2400.04,6.924,100.0,2.68,0.0
1771035598.2058554,52.7,0x0,2400.03,6.16,98.5,2.68,0.0
1771035598.3591018,52.1,0x0,2400.03,5.919,100.0,2.68,0.0
1771035598.5387685,51.6,0x0,2400.03,6.023,100.0,2.68,0.0
1771035598.713086,51.0,0x0,2400.02,5.931,98.6,2.68,0.0
1771035598.8912742,51.6,0x0,2400.03,5.957,100.0,2.68,0.0
1771035599.0635579,51.6,0x0,2400.02,6.028,98.6,2.68,0.0
1771035599.2321992,52.7,0x0,2400.03,6.035,100.0,2.69,0.0
1771035599.388681,52.1,0x0,2400.02,5.863,100.0,2.69,0.0
1771035599.5559728,53.2,0x0,2400.03,5.93,100.0,2.69,0.0
1771035599.7111213,52.7,0x0,2400.02,5.021,98.4,2.69,0.0
1771035599.879409,52.7,0x0,2400.03,6.014,100.0,2.69,0.0
1771035600.0387714,53.2,0x0,2400.03,5.419,100.0,2.69,0.0
1771035600.2026324,51.6,0x0,2400.03,5.987,100.0,2.69,0.0
1771035600.3533137,51.6,0x0,2400.03,6.032,98.4,2.69,0.0
1771035600.5289247,53.8,0x0,2400.03,6.027,100.0,2.69,0.0
1771035600.6882174,52.1,0x0,2400.03,5.273,100.0,2.69,0.0
1771035600.8538594,52.1,0x0,2400.03,6.016,100.0,2.69,0.0
1771035601.0150583,52.7,0x0,2400.02,6.06,98.5,2.69,0.0
1771035601.1687944,52.1,0x0,2400.02,5.937,100.0,2.69,0.0
1771035601.334647,52.7,0x0,2400.03,6.058,100.0,2.69,0.0
1771035601.5154357,52.7,0x0,2400.03,5.857,98.6,2.69,0.0
1771035601.6978855,52.7,0x0,2400.04,6.168,100.0,2.69,0.0
1771035601.8752615,53.8,0x0,2400.03,5.98,100.0,2.69,0.0
1771035602.0464537,54.3,0x0,2400.02,6.188,98.6,2.69,0.0
1771035602.2082233,52.1,0x0,2400.02,6.533,100.0,2.69,0.0
1771035602.3604965,52.7,0x0,2400.02,5.538,100.0,2.69,0.0
1771035602.5271397,53.8,0x0,2400.03,5.659,100.0,2.69,0.0
1771035602.7024884,52.1,0x0,2400.02,4.262,97.1,2.69,0.0
1771035602.872415,53.2,0x0,2400.02,6.09,100.0,2.69,0.0
1771035603.0403528,53.2,0x0,2400.02,6.014,100.0,2.69,0.0
1771035603.2059724,54.3,0x0,2400.03,6.036,98.5,2.69,0.0
1771035603.3670223,53.2,0x0,2400.03,6.041,100.0,2.69,0.0
1771035603.5344484,52.7,0x0,2400.02,5.997,98.5,2.69,0.0
1771035603.696493,53.2,0x0,2400.04,5.787,100.0,2.69,0.0
1771035603.854226,54.3,0x0,2400.03,5.915,96.8,2.69,0.0
1771035604.0229182,54.3,0x0,2400.02,6.09,100.0,2.69,0.0
1771035604.1865387,54.9,0x0,2400.03,6.034,100.0,2.69,0.0
1771035604.3512435,53.2,0x0,2400.03,6.076,98.5,2.69,0.0
1771035604.5082452,53.8,0x0,2400.03,6.009,100.0,2.69,0.0
1771035604.6684923,53.2,0x0,2400.03,5.898,100.0,2.69,0.0
1771035604.8423972,53.8,0x0,2400.04,5.383,98.6,2.69,0.0
1771035605.0051856,53.2,0x0,2400.03,6.057,100.0,2.69,0.0
1771035605.1650894,53.2,0x0,2400.03,6.161,100.0,2.69,0.0
1771035605.3169832,53.8,0x0,2400.02,5.897,100.0,2.69,0.0
1771035605.4844136,54.3,0x0,2400.03,6.032,98.5,2.69,0.0
1771035605.6365244,54.3,0x0,2400.02,6.195,100.0,2.69,0.0
1771035605.8176668,53.8,0x0,2400.03,6.024,98.6,2.69,0.0
1771035605.9968047,54.9,0x0,2400.02,6.042,100.0,2.69,0.0
1771035606.1784332,53.8,0x0,2400.02,6.067,100.0,2.69,0.0
